plz,AGS
47551,05154004
52477,05334004
52159,05334002
52156,05334020
52152,05334028
52382,05358048
47506,05170028
47139,05112000
50259,05362036
40468,05111000
40470,05111000
40599,05111000
45475,05117000
50739,05315000
50968,05315000
53125,05314000
48720,05558040
59557,05974028
59602,05974036
49497,05566056
49536,05566044
59469,05974012
59519,05974032
59823,05958004
57234,05970044
58515,05962032
48159,05515000
32361,05770036
33154,05774036
33161,05774024
33175,05774008
32429,05770024
32547,05770004
32369,05770040
32791,05766040
33098,05774032
48231,05570052
51709,05374024
44141,05913000
45892,05513000
45879,05513000
53175,05314000
53113,05314000
48607,05566068
53173,05314000
42107,05124000
42855,05120000
53797,05382028
44628,05916000
44803,05911000
47652,05154064
52159,05334024
52156,05334020
52457,05358004
47495,05170032
41472,05162024
47167,05112000
40233,05111000
41539,05162004
50667,05315000
45145,05113000
32312,05770020
33729,05711000
33818,05766048
32457,05770032
32699,05766028
52223,05334032
52249,05334012
47608,05154012
52156,05334020
46395,05554008
46483,05170048
50127,05362008
50129,05362008
40221,05111000
47269,05112000
40213,05111000
40227,05111000
45476,05117000
50823,05315000
50672,05315000
48734,05554044
50999,05315000
51065,05315000
45894,05513000
42551,05158032
53123,05314000
42655,05122000
44139,05913000
58093,05914000
48268,05566012
57413,05966012
57223,05970024
59329,05570048
42659,05122000
51519,05378020
42105,05124000
44801,05911000
58455,05954036
53819,05382040
58339,05954004
52353,05358008
46519,05170004
41516,05162008
47800,05114000
40668,05162022
50226,05362024
46348,05554040
40479,05111000
40477,05111000
40235,05111000
40597,05111000
50939,05315000
46238,05512000
50667,05315000
42549,05158032
45768,05562024
58511,05962032
58553,05962012
58095,05914000
44328,05913000
58119,05914000
59368,05978040
48369,05566080
45289,05113000
53227,05314000
42109,05124000
44652,05916000
45663,05562032
44805,05911000
59955,05958048
32130,05758008
33758,05754036
32584,05758024
32832,05766004
33189,05766064
49504,05566048
57334,05970028
59558,05974028
59069,05915000
59755,05958004
57074,05970040
59889,05958016
52070,05334002
52224,05334032
47589,05154056
47627,05154032
52428,05358024
46419,05554032
41238,05116000
50170,05362032
47228,05112000
53919,05366040
40210,05111000
40211,05111000
45472,05117000
48712,05554016
45131,05113000
42329,05124000
48739,05554036
44532,05978024
59192,05978004
48151,05515000
51702,05374004
58791,05962060
57439,05966004
59597,05974016
44892,05911000
44379,05913000
59379,05978032
42651,05122000
45661,05562032
33184,05774004
33719,05711000
32423,05770024
41169,05116000
47877,05166036
46399,05554008
47805,05114000
40545,05111000
53879,05366016
50769,05315000
45481,05117000
40627,05111000
50825,05315000
46286,05562012
45966,05562014
50735,05315000
45149,05113000
51377,05316000
45899,05513000
44225,05913000
48161,05515000
58579,05962056
57078,05970040
48336,05570036
57271,05970020
59077,05915000
44894,05911000
53804,05382036
58313,05954020
45276,05113000
51145,05315000
42279,05124000
42897,05120000
59505,05974008
52525,05370016
52076,05334002
52064,05334002
46459,05154044
41747,05166032
52372,05358028
50126,05362008
40591,05111000
40629,05111000
45219,05113000
50737,05315000
53340,05382032
50996,05315000
53225,05314000
42555,05158032
45527,05954016
32108,05766008
32758,05766020
32816,05766060
58849,05962020
49492,05566092
57399,05966016
59269,05570008
59757,05958004
59320,05570020
59759,05958004
47533,05154036
41844,05370040
52441,05358036
47906,05166012
47918,05166028
41236,05116000
47803,05114000
47799,05114000
41464,05162024
47178,05112000
40219,05111000
40215,05111000
53879,05366016
40229,05111000
40882,05158028
40625,05111000
51063,05315000
45138,05113000
53177,05314000
45889,05513000
42349,05124000
45699,05562020
53840,05382068
48727,05558008
59399,05558036
58840,05962052
33333,05754008
33014,05762004
57392,05958040
33605,05711000
33609,05711000
33813,05766056
32049,05758012
32694,05766024
37696,05762024
59494,05974040
33332,05754008
47624,05154032
50189,05362016
40474,05111000
47058,05112000
45478,05117000
48683,05554004
45468,05117000
45896,05513000
42719,05122000
44289,05913000
58509,05962032
51580,05374040
49549,05566032
44229,05913000
51570,05382076
58285,05954012
58453,05954036
51399,05378008
44879,05911000
44867,05911000
53721,05382060
33775,05754048
52066,05334002
41849,05370036
47546,05154024
41063,05116000
52388,05358052
50169,05362032
47055,05112000
46147,05119000
40472,05111000
48703,05554056
51107,05315000
58091,05914000
44145,05913000
44269,05913000
48496,05566020
33790,05754012
58507,05962032
48147,05515000
58730,05978012
48291,05570044
49525,05566040
44869,05911000
53179,05314000
32257,05758004
33689,05711000
32120,05758016
32805,05766032
59439,05978016
49479,05566028
48317,05570016
48145,05515000
58675,05962016
33378,05754028
59909,05958008
45701,05562020
53229,05314000
42857,05120000
44797,05911000
44623,05916000
48612,05566024
47929,05166008
